address,kind,name,category,module,promotion_status,source,notes
0x1002b110,FUN,BotLoadSynonyms,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:33833;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:595,loads syn.c synonym contexts for chat matching
0x1002b990,FUN,BotLoadRandomStrings,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:34224;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:946,loads rnd.c random string tables
0x1002bdd0,FUN,RandomString,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:34431;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:1048,selects random string entry by table name
0x1002c410,FUN,BotLoadMatchTemplates,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:34756;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:1258,loads match.c templates
0x1002d1b0,FUN,BotFreeReplyChat,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:35497;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:1687,frees reply chat lists
0x1002d270,FUN,BotLoadReplyChat,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:35540;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:1840,loads rchat.c reply tables and emits the no rchats diagnostic
0x1002d8a0,FUN,BotLoadInitialChat,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:35815;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2013,loads named initial chat blocks and reports missing names
0x1002df70,FUN,BotFreeChatFile,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36232;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2182,frees the active chat file from a chat state
0x1002dff0,FUN,BotLoadChatFile,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36258;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2200,loads initial chat file and shared chat assets
0x1002e060,FUN,BotConstructChatMessage,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36273;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2289,repeats random refs applies weighted synonyms and expands captured numeric/readable match variables
0x1002e7d0,FUN,BotReplyChat,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36701;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2614,selects reply chat messages with parsed keys and captured variables
0x1002ea50,FUN,BotChatLength,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36853;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2769,returns current constructed chat length
0x1002ebb0,FUN,BotSetupChatAI,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36922;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2960,loads synfile rndfile matchfile and optional rchatfile defaults
0x1002ec80,FUN,BotShutdownChatAI,helper,ai_chat,address_backed_helper,dev_tools/gladiator.dll.bndb_hlil.txt:36941;dev_tools/Quake-III-Arena-master/code/botlib/be_ai_chat.c:2981,frees global chat lists
